name,2024-02-11,2024-05-01,2024-06-02,2024-08-25,2024-09-27,2024-10-21
Llama 3.2 11B Vision 8k (Preview),,,,,,0.18
Llama 3.2 1B (Preview) 8k,,,,,,0.04
Llama 3.2 3B (Preview) 8k,,,,,,0.06
Llama 3.2 90B Vision 8k (Preview),,,,,,0.9
gemma 2 9b,,,,0.2,,
gemma 2 9b 8k,,,,,0.2,0.2
gemma 7b,,0.1,0.07,0.07,,
gemma 7b 8k instruct,,,,,0.07,0.07
llama 2 70b,,,,,,
llama 2 7b,,,,,,
llama 3 70b,,0.59,0.59,0.59,,
llama 3 70b 8k,,,,,0.59,0.59
llama 3 8b,,0.05,0.05,0.05,,
llama 3 8b 8k,,,,,0.05,0.05
llama 3 groq 70b tool use preview 8k,,,,,0.89,0.89
llama 3 groq 8b tool use preview 8k,,,,,0.19,0.19
llama 3.1 70b versatile 128k,,,,,0.59,0.59
llama 3.1 8b instant 128k,,,,,0.05,0.05
llama guard 3 8b 8k,,,,,0.2,0.2
mixtral 8x7b,,,,,,
mixtral 8x7b instruct 32k,,,,,0.24,0.24
mixtral 8x7b smoe,,0.27,0.24,0.24,,
